RCP_SNO,RCP_TTL,CKG_NM,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_IPDC,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,FIRST_REG_DT
128671,어묵김말이,어묵김말이,skfo0701,꽃날,10072,6,66,튀김,간식,가공식품류,디저트,맛있는 김말이에 쫄깃함을 더한 어묵 김말이예요-,[재료] 어묵 2개| 김밥용김 3장| 당면 1움큼| 양파 1/2개| 당근 1/2개| 깻잎 6장| 튀김가루 1컵 | 올리브유 적당량| 간장 1T| 참기름 1T,2인분,초급,60분이내,20070402131403
128892,두부에 꼬리가 달렸어요!!,두부새우전,skfo0701,꽃날,5817,3,27,부침,일상,해물류,밑반찬,꼬리가 너-무- 매력적인 두부새우전. 두부와 야채를 한번에!! 영양까지 만점인 두부새우전. 모양도 이쁘고 맛까지 좋은 두부새우전!! 함께 만들어 보아요♥,[재료] 두부 1/2모| 당근 1/2개| 고추 2개| 브로콜리 1/4개| 새우 4마리| 녹말가루| 계란 1개,3인분,초급,30분이내,20070402205937
128932,입안에서 톡톡톡,알밥,skfo0701,꽃날,6975,8,36,굽기,일상,해물류,밥/죽/떡,간단하게 만들어 보는 알이 톡톡톡 알밥♥ 다 먹고 누룽지까지 싹싹 긁어먹는게 최고죠~ 색깔도 너무 이쁘고 한 그릇만 있으면 반찬도 필요없는 알밥,[재료] 밥 1+1/2공기| 당근 1/4개| 치자단무지 1/2개| 신김치 1쪽| 무순 약간| 날치알 6스푼| 김가루 약간| 후리가케(또는밥이랑같은류)| 참기름 약간| 통깨 약간| 계란 노른자 2알,2인분,초급,30분이내,20070402224355
131871,★현미호두죽,현미호두죽,cds1117,햇님&별님,3339,0,11,끓이기,일상,쌀,밥/죽/떡,현미호두죽,[재료] 현미 4컵| 찹쌀 2컵| 호두 50g| 물 1/2컵| 소금 약간,2인분,초급,30분이내,20070410142301
139247,부들부들 보들보들 북어갈비♥,북어갈비,skfo0701,꽃날,7173,3,97,굽기,술안주,건어물류,메인반찬,오늘은 집에서 굴러다니고 쉽게 구할 수 있는 북어로 일품요리를 만들어 보았어요! 도시락 반찬으로는 물론 초대요리에도 너무너무 좋은 요리랍니다~ 겉에 찹쌀가루를 묻혀서 맛도 고소해요~,[재료] 북어포 1마리| 찹쌀가루 1C [양념] 간장 2T| 설탕 1T| 물 1T| 다진파 1T| 다진마늘 1T| 참기름 1T| 깨소금 1T| 후춧가루 약간,2인분,초급,60분이내,20070501000844
149207,토마토스파게티♥,토마토스파게티,skfo0701,꽃날,13492,2,36,볶음,일상,가공식품류,면/만두,한번 만들어 두면 이모저모 쓸 용도가 많은 토마토소스를 이용한 토마토 스파게티.,[재료] 파스타면 [양념] 토마토 1개| 토마토 페이스트 3T| 양파 1/2개| 다진마늘 1T| 피망 1/2개| 올리브유 3T,1인분,초급,30분이내,20070525232601
151148,표고버섯탕수,표고버섯탕수,skfo0701,꽃날,17036,2,194,튀김,손님접대,버섯류,메인반찬,탕수육 먹을때 칼로리때문에 걱정하시는 분들!! 이제는 걱걱걱 정하지 마세요~ 칼로리를 조금 낮추고 맛은 올리고 게다가 영양까지 듬뿍듬뿍 들어있는 표고버섯을 이용한 탕수!!! 바로 표고버섯탕수♥ 건표고와 냉장고에 남아있는 야채들을 이용해서 함께 만들어 보아요.,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,2인분,초급,30분이내,20070530142653
153040,달콤한 마늘향이 가득해~ 갈릭치킨♥,갈릭치킨,skfo0701,꽃날,8363,0,38,튀김,손님접대,닭고기,메인반찬,요즘 갈릭이 대세인거 같아요~ 그래서 오늘은 제가 너무 좋아하는 닭과 마늘을 한번에!! 달콤한 마늘향이 가득한 갈릭치킨을 만들어 보았어요~,[재료] 닭 1마리 [닭양념] 통마늘 3개| 다진마늘 1T| 화이트와인또는우유| 올리브유또는버터| 마늘솔트또는소금 [샐러드 드레싱] 파인애플 2쪽| 마요네즈 2T| 머스터드 1T| 식초1/2T(또는 레몬즙) | 꿀 1T,2인분,중급,60분이내,20070603232445
221094,바삭바삭 양파링 튀김 만들기,양파링튀김,skfo0701,박꽃나래,18235,14,244,튀김,간식,채소류,디저트,완전 바삭바삭 맛있어요~ 특히 양파를 싫어하는 아이들에게도 거부감없이! 왜냐면 바삭바삭하고 매운맛도 전혀 없답니다!,[재료] 양파1개| 빵가루| 달걀 노른자1개| 밀가루1C| 물 약간| 파슬리,2인분,초급,30분이내,20071012223140
221097,참치 삼각김밥 삼총사,참치삼각김밥,skfo0701,박꽃나래,51627,8,366,기타,도시락,가공식품류,밥/죽/떡,맨날 편의점에서만 사먹는 삼각김밥~ 집에서 간편히 만들 수 있다는 사실~ 참치만 있으면 냉장고 열어서 만들 수 있어요~ 한끼식사로도 좋고 도시락으로도 좋은 참치삼각김밥을 만들어 보아요~,[재료] 밥 2공기| 참치캔 큰거 1개| 양파| 다진김치| 김밥용김 [양념] 고추장| 다진마늘| 참기름| 맛소금| 마요네즈,2인분,초급,30분이내,20071012223511
